[INFO ] 2020-11-16 20:03:48.826 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 20:03:48.827 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 20:03:48.827 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 20:03:49.183 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 20:03:49.184 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 20:03:49.185 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 20:03:49.186 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 20:03:49.187 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 20:03:49.494 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 20:03:49.495 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 20:03:49.495 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 20:03:49.495 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 20:03:49.495 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 20:03:49.799 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 20:03:49.799 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 20:03:49.800 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 20:03:49.800 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 20:03:49.800 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 20:03:50.117 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 20:03:50.117 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 20:03:50.117 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 20:03:50.117 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 20:03:50.118 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 22:52:31.685 [main] Log - Updated customer with account ID, 11, last name to: doe
[INFO ] 2020-11-17 01:45:40.794 [main] Log - Updated account type of account with account ID, 6, to: checking
[INFO ] 2020-11-17 01:47:16.103 [main] Log - Updated account type of account with account ID, 6, to: checking
[INFO ] 2020-11-17 01:47:59.128 [main] Log - Deleted account with account number, 9
[INFO ] 2020-11-17 02:23:37.689 [main] Log - Admin has logged out
[INFO ] 2020-11-17 02:24:22.420 [main] Log - Customer with account ID, 6, has logged out
[INFO ] 2020-11-17 02:25:47.777 [main] Log - Updated first name of customer with account ID, 6, to: Sukanya
[INFO ] 2020-11-17 02:42:08.914 [main] Log - Customer with account ID, 6, has logged out
[INFO ] 2020-11-17 03:11:10.881 [main] Log - An empty account was added
[INFO ] 2020-11-17 03:11:54.551 [main] Log - An empty account was added
